City,Amsterdam,Antwerp,Athens,Barcelona,Belgrade,Berlin,Bratislava,Brussels,Bucharest,Budapest,Chisinau,Coimbra,Copenhagen,Dublin,Edinburgh,Frankfurt,Geneva,Hamburg,Helsinki,Larnaca,Lisbon,Ljubljana,London,Luxembourg City,Lyon,Madrid,Milan,Minsk,Munich,Nice,Oslo,Paris,Podgorica,Prague,Reykjavik,Riga,Rome,Sarajevo,Seville,Skopje,Sofia,Stockholm,Tallinn,Tirana,Valletta,Vienna,Vilnius,Warsaw,Zagreb,Zurich
Sofia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Stockholm,184.0,202.0,-,293.0,-,175.0,195.0,184.0,-,199.0,-,406.0,68.0,-,476.0,199.0,149.0,119.0,-,-,392.0,203.0,373.0,148.0,183.0,381.0,201.0,-,139.0,264.0,52.0,228.0,-,179.0,-,-,266.0,-,348.0,-,-,104.0,-,-,-,194.0,-,184.0,176.0,148.0
Tallinn,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tirana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Valletta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vienna,189.0,300.0,-,264.0,-,51.0,19.0,179.0,-,16.0,-,377.0,342.0,-,432.0,132.0,147.0,168.0,-,-,363.0,32.0,329.0,226.0,154.0,352.0,78.0,-,60.0,112.0,246.0,244.0,-,15.0,-,-,100.0,-,319.0,-,-,194.0,-,-,-,30.0,-,62.0,51.0,80.0
Vilnius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Warsaw,95.0,188.0,-,326.0,-,45.0,81.0,84.0,-,78.0,-,439.0,116.0,-,376.0,90.0,179.0,90.0,-,-,425.0,94.0,273.0,74.0,325.0,409.0,139.0,-,138.0,173.0,236.0,341.0,-,84.0,-,-,162.0,-,381.0,-,-,184.0,-,-,-,62.0,-,90.0,113.0,105.0
Zagreb,168.0,236.0,-,291.0,-,102.0,70.0,166.0,-,67.0,-,404.0,108.0,-,458.0,117.0,168.0,137.0,-,-,390.0,27.0,355.0,142.0,181.0,363.0,129.0,-,37.0,163.0,228.0,176.0,-,66.0,-,-,151.0,-,346.0,-,-,176.0,-,-,-,51.0,-,113.0,54.0,147.0
Zurich,60.0,178.0,-,484.0,-,90.0,99.0,168.0,-,122.0,-,357.0,80.0,-,438.0,48.0,66.0,90.0,-,-,343.0,137.0,329.0,126.0,314.0,304.0,53.0,-,41.0,374.0,200.0,130.0,-,137.0,-,-,120.0,-,320.0,-,-,148.0,-,-,-,80.0,-,105.0,147.0,82.0
